Дата,Проект,цена,Номеров,Использовали,Источник,как собиралось,Ответственный,link,статус,комментарий
29.09.2017,530,2.6,6903,171,Youtags,Support,Rafaelia,http://homestead.com/congue/risus.aspx?nulla=tempor&justo=turpis&aliquam=nec&quis=euismod&turpis=scelerisque&eget=quam&elit=turpis&sodales=adipiscing&scelerisque=lorem&mauris=vitae&sit=mattis&amet=nibh&eros=ligula&suspendisse=nec&accumsan=sem&tortor=duis&quis=aliquam&turpis=convallis&sed=nunc&ante=proin&vivamus=at&tortor=turpis&duis=a&mattis=pede&egestas=posuere&metus=nonummy&aenean=integer&fermentum=non&donec=velit&ut=donec&mauris=diam&eget=neque&massa=vestibulum&tempor=eget&convallis=vulputate&nulla=ut&neque=ultrices&libero=vel&convallis=augue&eget=vestibulum&eleifend=ante&luctus=ipsum&ultricies=primis&eu=in&nibh=faucibus&quisque=orci&id=luctus&justo=et&sit=ultrices&amet=posuere&sapien=cubilia&dignissim=curae&vestibulum=donec&vestibulum=pharetra&ante=magna&ipsum=vestibulum&primis=aliquet&in=ultrices&faucibus=erat&orci=tortor&luctus=sollicitudin&et=mi&ultrices=sit&posuere=amet&cubilia=lobortis&curae=sapien&nulla=sapien&dapibus=non&dolor=mi&vel=integer&est=ac&donec=neque&odio=duis&justo=bibendum&sollicitudin=morbi&ut=non&suscipit=quam&a=nec&feugiat=dui&et=luctus&eros=rutrum&vestibulum=nulla&ac=tellus&est=in&lacinia=sagittis&nisi=dui&venenatis=vel&tristique=nisl&fusce=duis&congue=ac,false,
30.07.2018,S-Class,96.3,6610,762,Thoughtblab,Sales,Sue,https://usa.gov/in/consequat/ut.jsp?massa=praesent&volutpat=blandit&convallis=nam&morbi=nulla&odio=integer&odio=pede&elementum=justo&eu=lacinia&interdum=eget&eu=tincidunt&tincidunt=eget&in=tempus&leo=vel&maecenas=pede&pulvinar=morbi&lobortis=porttitor&est=lorem&phasellus=id&sit=ligula&amet=suspendisse&erat=ornare&nulla=consequat&tempus=lectus&vivamus=in&in=est&felis=risus&eu=auctor&sapien=sed&cursus=tristique&vestibulum=in&proin=tempus&eu=sit&mi=amet&nulla=sem&ac=fusce&enim=consequat&in=nulla&tempor=nisl&turpis=nunc&nec=nisl&euismod=duis&scelerisque=bibendum&quam=felis&turpis=sed&adipiscing=interdum&lorem=venenatis&vitae=turpis&mattis=enim&nibh=blandit&ligula=mi&nec=in&sem=porttitor&duis=pede&aliquam=justo&convallis=eu&nunc=massa&proin=donec&at=dapibus&turpis=duis&a=at&pede=velit&posuere=eu&nonummy=est&integer=congue&non=elementum&velit=in&donec=hac&diam=habitasse&neque=platea&vestibulum=dictumst&eget=morbi&vulputate=vestibulum&ut=velit&ultrices=id&vel=pretium&augue=iaculis,,
18.05.2019,Soul,45.9,2096,860,Camimbo,Engineering,Sol,http://artisteer.com/pellentesque/volutpat/dui/maecenas/tristique/est.png?at=posuere&lorem=nonummy&integer=integer&tincidunt=non&ante=velit&vel=donec&ipsum=diam&praesent=neque&blandit=vestibulum&lacinia=eget&erat=vulputate&vestibulum=ut&sed=ultrices&magna=vel&at=augue&nunc=vestibulum&commodo=ante&placerat=ipsum&praesent=primis&blandit=in&nam=faucibus&nulla=orci&integer=luctus&pede=et&justo=ultrices&lacinia=posuere&eget=cubilia&tincidunt=curae&eget=donec&tempus=pharetra&vel=magna&pede=vestibulum&morbi=aliquet&porttitor=ultrices&lorem=erat&id=tortor,,Proactive
11.01.2019,Grand Caravan,2.9,4467,100,Eare,Product Management,Carmon,,,
27.05.2018,Century,97.4,2792,650,Shufflebeat,Engineering,Alano,http://cdc.gov/pulvinar/nulla/pede.aspx?et=hac&magnis=habitasse&dis=platea&parturient=dictumst&montes=morbi&nascetur=vestibulum&ridiculus=velit&mus=id&vivamus=pretium&vestibulum=iaculis&sagittis=diam&sapien=erat&cum=fermentum&sociis=justo&natoque=nec&penatibus=condimentum&et=neque&magnis=sapien&dis=placerat&parturient=ante&montes=nulla&nascetur=justo&ridiculus=aliquam&mus=quis&etiam=turpis&vel=eget&augue=elit&vestibulum=sodales&rutrum=scelerisque&rutrum=mauris&neque=sit&aenean=amet&auctor=eros&gravida=suspendisse&sem=accumsan&praesent=tortor&id=quis&massa=turpis&id=sed&nisl=ante&venenatis=vivamus&lacinia=tortor&aenean=duis&sit=mattis&amet=egestas&justo=metus&morbi=aenean&ut=fermentum&odio=donec&cras=ut&mi=mauris&pede=eget&malesuada=massa&in=tempor&imperdiet=convallis&et=nulla&commodo=neque&vulputate=libero&justo=convallis&in=eget&blandit=eleifend&ultrices=luctus&enim=ultricies&lorem=eu&ipsum=nibh&dolor=quisque&sit=id&amet=justo&consectetuer=sit&adipiscing=amet&elit=sapien&proin=dignissim&interdum=vestibulum&mauris=vestibulum&non=ante&ligula=ipsum&pellentesque=primis&ultrices=in,false,
11.04.2019,Colorado,105.2,1698,715,Flashdog,Engineering,Purcell,,true,
28.11.2018,Astro,46.3,4440,837,Blogtags,Training,Nerti,,,system engine
25.12.2018,Continental GTC,131.3,4096,249,Blognation,Legal,Annmaria,,true,
24.03.2020,1500 Club Coupe,3.8,4866,457,Dynazzy,Research and Development,Sutherland,http://yelp.com/sapien/quis/libero/nullam/sit/amet.json?quam=augue&suspendisse=luctus&potenti=tincidunt&nullam=nulla&porttitor=mollis&lacus=molestie&at=lorem&turpis=quisque&donec=ut&posuere=erat&metus=curabitur&vitae=gravida&ipsum=nisi&aliquam=at&non=nibh&mauris=in&morbi=hac&non=habitasse&lectus=platea&aliquam=dictumst&sit=aliquam&amet=augue&diam=quam&in=sollicitudin&magna=vitae&bibendum=consectetuer&imperdiet=eget&nullam=rutrum&orci=at&pede=lorem&venenatis=integer&non=tincidunt&sodales=ante&sed=vel&tincidunt=ipsum&eu=praesent&felis=blandit&fusce=lacinia&posuere=erat&felis=vestibulum&sed=sed&lacus=magna&morbi=at&sem=nunc&mauris=commodo&laoreet=placerat&ut=praesent&rhoncus=blandit&aliquet=nam&pulvinar=nulla&sed=integer&nisl=pede&nunc=justo&rhoncus=lacinia&dui=eget&vel=tincidunt&sem=eget&sed=tempus&sagittis=vel&nam=pede&congue=morbi&risus=porttitor&semper=lorem&porta=id&volutpat=ligula&quam=suspendisse&pede=ornare&lobortis=consequat&ligula=lectus&sit=in&amet=est&eleifend=risus&pede=auctor&libero=sed&quis=tristique&orci=in&nullam=tempus&molestie=sit&nibh=amet&in=sem,,
09.12.2018,A4,130.7,9493,345,Bluezoom,,Hoyt,,,
27.09.2017,Scoupe,136.4,7473,436,Kwimbee,,Katine,,false,
04.07.2017,Silhouette,20.9,3213,155,Agivu,Sales,Rori,,false,
27.10.2017,Maxima,130.0,7153,101,Quinu,Research and Development,Rutter,https://fastcompany.com/amet/sem.aspx?nec=elit&dui=proin&luctus=interdum&rutrum=mauris&nulla=non&tellus=ligula&in=pellentesque&sagittis=ultrices&dui=phasellus&vel=id&nisl=sapien&duis=in&ac=sapien&nibh=iaculis&fusce=congue&lacus=vivamus&purus=metus&aliquet=arcu&at=adipiscing,false,moratorium
25.08.2019,Cabriolet,80.0,6731,729,Skinder,Business Development,Hallie,,,
22.05.2019,RAV4,8.3,7028,278,Kanoodle,,Aile,,false,
21.05.2020,Frontier,62.8,7006,916,Devpoint,Business Development,Peyter,,false,
22.10.2019,Mazdaspeed6,128.1,3459,762,Leenti,Human Resources,Stevana,,false,
21.03.2020,3000GT,136.2,4238,401,Skilith,Accounting,Paulette,,,success
28.02.2017,Civic,15.8,6884,979,Jatri,,Davide,,true,
17.03.2018,Mustang,44.3,1419,551,Ainyx,Support,Guillaume,http://dedecms.com/sed/vel/enim/sit/amet/nunc.js?eleifend=dolor&pede=morbi&libero=vel&quis=lectus&orci=in&nullam=quam&molestie=fringilla&nibh=rhoncus&in=mauris&lectus=enim&pellentesque=leo&at=rhoncus&nulla=sed&suspendisse=vestibulum&potenti=sit&cras=amet&in=cursus&purus=id&eu=turpis&magna=integer&vulputate=aliquet&luctus=massa&cum=id&sociis=lobortis&natoque=convallis&penatibus=tortor&et=risus&magnis=dapibus&dis=augue&parturient=vel&montes=accumsan&nascetur=tellus&ridiculus=nisi&mus=eu&vivamus=orci&vestibulum=mauris&sagittis=lacinia,,
22.02.2020,Aveo,77.1,2629,928,Livetube,Research and Development,Elsbeth,,true,
